RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
28-037-2290-26-0001,Kewanee High School,Kewanee CUSD 229,Kewanee,Henry,Unit District,High School,9 - 12,50.6,49.4,,60.6,,27.1,,,,6.4,,14.3,14.3,8.3,6.2,85.5,60.4,3.5,,,,90.3,,2.4,,,,4.9,,4.3,,,82.2,,93.3,,,,80.0,,91.7,91.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-048-2020-26-0001,Knoxville Sr High School,Knoxville CUSD 202,Knoxville,Knox,Unit District,High School,9 - 12,48.7,51.3,,94.9,,,,,,4.4,,20.7,20.7,,,100.0,49.1,,,,,98.0,,,,,,,,11.0,,,93.9,,,,,,,,86.7,86.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-006-3030-26-0001,La Moille Jr/Sr High School,La Moille CUSD 303,La Moille,Bureau,Unit District,High School,7 - 12,56.1,43.9,,95.1,,,,,,,,35.4,26.8,,,100.0,46.3,,,,,91.4,,,,,,,,8.1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-050-1200-17-0001,La Salle-Peru Twp High School,La Salle-Peru Twp HSD 120,La Salle,La Salle,High School District,High School,9 - 12,50.7,49.3,,67.1,2.5,24.4,1.6,,,4.3,,18.3,13.8,10.3,4.7,85.0,47.1,1.2,,,,94.4,1.1,3.4,,,,1.1,,2.2,,,92.4,,83.9,,,,100.0,,90.2,90.5,86.4,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1150-16-0001,Lake Forest High School,Lake Forest CHSD 115,Lake Forest,Lake,High School District,High School,9 - 12,51.2,48.8,,76.2,1.2,11.4,5.6,,,5.3,,37.9,13.9,3.7,4.1,92.2,5.9,,,,,96.5,,1.6,1.9,,,,,1.0,,,100.0,,97.7,100.0,,,100.0,,99.2,98.0,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-1080-16-0001,Lake Park High School,Lake Park CHSD 108,Roselle,Dupage,High School District,High School,9 - 12,51.0,49.0,,58.3,4.7,23.6,10.5,,,2.8,,16.9,10.6,10.3,19.1,70.6,17.3,1.0,,,4.3,93.3,1.8,3.0,1.8,,,,,6.0,,,96.7,100.0,93.0,98.5,,,95.5,,88.1,84.1,96.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-0950-26-0001,Lake Zurich High School,Lake Zurich CUSD 95,Lake Zurich,Lake,Unit District,High School,9 - 12,50.7,,,77.3,1.1,9.4,9.7,,,1.7,,21.7,10.7,7.2,18.7,74.0,18.8,,,,,97.7,,1.5,,,,,,1.6,,,97.6,,95.9,97.4,,,,,96.1,94.9,90.5,,0.0,100.1,100.0,100.0,100.0,,,100.0,,100.0,100.7,100.1,100.0,100.0,100.0,,,100.0,,100.0,100.7,1.4,,,,,,,,,,1.4,,,,,,,,,
12-051-0200-26-0008,Lawrenceville High School,Lawrence County CUD 20,Lawrenceville,Lawrence,Unit District,High School,9 - 12,51.2,48.8,,91.1,,3.8,,,,,,10.0,10.0,,,,56.4,3.8,,,,44.6,,,,,,,,12.7,,,80.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-082-0090-26-0003,Lebanon High School,Lebanon CUSD 9,Lebanon,Saint Clair,Unit District,High School,6 - 12,55.4,44.6,,71.8,16.4,5.2,,,,4.7,,29.1,24.4,,,,39.0,,,,6.1,96.0,,4.0,,,,,,12.0,,,77.8,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-050-0010-26-0001,Leland High School,Leland CUSD 1,Leland,La Salle,Unit District,High School,9 - 12,52.4,47.6,,75.6,,24.4,,,,,,12.2,12.2,,,86.6,36.6,,,,,100.0,,,,,,,,18.2,,,88.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Lemont,Cook,High School District,High School,9 - 12,52.0,48.0,,79.9,0.8,11.9,3.9,,,3.4,,19.5,10.2,4.9,11.8,83.3,16.7,0.8,,,,96.0,0.6,2.3,1.1,,,,,5.2,,,99.6,,96.4,100.0,,,100.0,,98.2,100.0,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-089-2020-26-0001,Lena-Winslow High School,Lena Winslow CUSD 202,Lena,Stephenson,Unit District,High School,9 - 12,50.0,50.0,,92.1,,4.4,,,,,,14.5,14.5,,,98.2,37.3,,,,,100.0,,,,,,,,10.9,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0020-26-0003,LeRoy High School,LeRoy CUSD 2,Le Roy,McLean,Unit District,High School,9 - 12,53.4,46.6,,94.0,,,,,,,,11.5,11.1,,,98.3,22.2,,,,,93.4,,,,,,,,26.7,,,98.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-029-0970-26-0001,Lewistown Jr/Sr High School,Lewistown CUSD 97,Lewistown,Fulton,Unit District,High School,7 - 12,45.7,54.3,,96.9,,,,,,,,25.6,25.6,,,,48.4,7.9,,,,90.5,,,,,,,,36.0,,,93.3,,,,,,,,92.9,92.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0070-26-0002,Lexington High School,Lexington CUSD 7,Lexington,McLean,Unit District,High School,9 - 12,49.7,,,93.8,,,,,,,,14.3,6.8,,,100.0,18.0,,,,,100.0,,,,,,,,13.6,,,97.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2120-16-0001,East Leyden High School,Leyden CHSD 212,Franklin Park,Cook,High School District,High School,9 - 12,50.1,49.9,,33.8,1.5,60.7,2.5,,,0.7,,9.0,9.0,27.5,28.3,44.2,54.8,1.1,,,0.7,88.2,0.8,,2.7,,3.8,3.7,,2.6,,,83.7,,77.2,86.7,,,,,75.6,75.6,67.5,,0.0,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2120-16-0002,West Leyden High School,Leyden CHSD 212,Northlake,Cook,High School District,High School,9 - 12,53.3,46.7,,10.2,1.5,84.5,2.4,,,1.0,,17.3,17.3,30.0,36.1,34.0,57.6,,,,0.6,90.9,0.8,0.8,1.4,,0.8,1.0,,1.6,,,96.7,,81.4,100.0,,,,,79.4,79.4,76.9,,0.0,,,4.4,,,,,,5.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-001-0020-26-0001,Liberty High School,Liberty CUSD 2,Liberty,Adams,Unit District,High School,7 - 12,46.8,53.2,,96.0,,,,,,,,30.8,22.0,,,100.0,29.2,,,,,100.0,,,,,,,,10.6,,,97.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-3100-16-0001,Limestone Community High School,Limestone CHSD 310,Peoria,Peoria,High School District,High School,9 - 12,53.4,,,72.1,11.6,6.3,,,,9.0,,19.7,15.3,,,98.7,48.6,1.3,1.5,,,92.9,1.4,1.4,1.4,,,,,4.8,,,92.6,85.2,,,,,86.7,,87.0,84.2,,,0.3,2.7,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,
17-054-4040-16-0001,Lincoln Comm High School,Lincoln CHSD 404,Lincoln,Logan,High School District,High School,9 - 12,51.2,48.8,,85.5,,4.9,,,,7.0,,17.0,13.8,,,99.3,52.0,2.0,1.3,,,93.3,1.7,1.7,,,,,,4.3,,,76.1,,,,,,,,60.0,61.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2100-16-0004,Lincoln Way West,Lincoln Way CHSD 210,New Lenox,Will,High School District,High School,9 - 12,51.6,48.4,,80.4,1.7,14.7,,,,2.5,,24.3,13.2,1.9,2.9,95.2,9.0,0.6,,,1.2,99.1,,0.9,,,,,,3.6,,,96.2,,93.7,,,,100.0,,93.0,91.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2100-16-0001,Lincoln-Way Central High School,Lincoln Way CHSD 210,New Lenox,Will,High School District,High School,9 - 12,50.4,49.6,,79.9,2.5,12.2,1.8,,,3.3,,23.8,12.8,2.4,4.0,93.6,8.7,,,,0.6,97.8,1.5,0.7,,,,,,2.0,,,97.3,83.3,100.0,,,,100.0,,94.9,98.0,90.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2100-16-0002,Lincoln-Way East High School,Lincoln Way CHSD 210,Frankfort,Will,High School District,High School,9 - 12,51.0,49.0,,68.9,11.1,11.7,3.8,,,3.9,,24.9,14.3,3.4,5.8,90.8,7.7,0.7,,,0.5,96.0,1.3,2.7,,,,,,5.7,,,98.3,98.4,94.2,100.0,,,96.4,,95.9,96.0,96.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-2020-26-0001,Lisle High School,Lisle CUSD 202,Lisle,Dupage,Unit District,High School,9 - 12,56.4,,,54.8,9.5,23.1,,,,6.4,,21.9,13.6,5.7,11.0,83.3,34.3,4.5,,,,89.9,1.0,2.5,6.6,,,,,1.5,,,96.6,86.7,100.0,,,,,,83.3,76.5,,,0.0,35.7,,11.4,,,,36.7,,,,34.8,,,44.0,,,36.7,,,,14.8,,,,,,,,,,14.8,,,,,,,,,
03-068-0120-26-0001,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,Unit District,High School,9 - 12,50.7,49.3,,91.7,,3.5,,,,,,16.9,16.9,,,,52.8,8.0,,,,89.2,,,,,,,,7.5,,,97.3,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2050-17-0001,Lockport Township High Sch East,Lockport Twp HSD 205,Lockport,Will,High School District,High School,9 - 12,50.5,49.5,,63.2,6.0,24.2,1.8,,,3.7,0.9,14.6,14.6,8.8,10.8,80.4,32.9,1.4,0.3,,,92.0,0.4,5.7,0.9,0.9,,,,1.1,,,98.2,100.0,97.4,100.0,,,100.0,100.0,96.2,96.2,92.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-102-0210-26-0001,Lowpoint-Washburn Jr Sr High Sch,Lowpoint-Washburn CUSD 21,Washburn,Woodford,Unit District,High School,6 - 12,54.2,45.8,,93.5,,,,,,,,15.7,15.7,,,,45.8,,,,,100.0,,,,,,,,26.4,,,81.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2040-17-0001,Lyons Twp High Sch,Lyons Twp HSD 204,La Grange,Cook,High School District,High School,9 - 12,51.6,,,64.1,3.3,26.5,2.4,,,3.6,,26.7,12.5,6.7,9.4,84.0,11.7,,,,,92.2,2.2,4.5,1.1,,,,,1.9,,,99.3,96.8,97.2,100.0,,,100.0,,97.7,97.4,100.0,,0.0,3.9,,10.1,,,,8.6,,10.2,16.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-062-1850-26-0001,Macomb Senior High School,Macomb CUSD 185,Macomb,McDonough,Unit District,High School,9 - 12,53.2,46.8,,72.7,13.2,4.8,2.0,,,6.8,,21.3,16.8,,,96.0,48.3,2.3,,,1.6,95.4,,2.3,,,,,,6.1,,,87.6,75.0,,,,,,,82.4,80.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-057-0120-26-0001,Madison Senior High School,Madison CUSD 12,Madison,Madison,Unit District,High School,9 - 12,50.8,49.2,,,88.6,,,,,,,18.2,18.2,,,,99.2,12.9,,,,52.2,36.5,,,,,5.6,,35.5,,,,70.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-010-0030-26-0001,Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,Mahomet,Champaign,Unit District,High School,9 - 12,49.3,50.7,,81.0,,6.5,3.9,,,6.4,,21.6,9.0,2.6,2.0,95.4,22.2,,,,1.3,94.2,,4.3,1.5,,,,,15.9,,,97.1,,94.7,100.0,,,92.3,,90.2,85.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Park Ridge,Cook,High School District,High School,9 - 12,50.8,49.2,,34.8,5.3,25.1,31.2,,,2.1,0.7,18.3,12.1,31.8,32.3,35.9,33.9,0.8,,,,77.2,2.5,5.0,6.9,,,8.2,0.1,1.3,,,94.4,96.9,90.8,99.4,,,92.9,,94.0,94.2,90.1,,0.0,2.4,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Park Ridge,Cook,High School District,High School,9 - 12,50.4,,,77.9,0.9,11.9,5.4,,,3.4,,21.2,8.8,5.9,13.0,81.0,4.5,,,,,88.9,2.4,1.1,2.9,,,4.7,,2.9,,,97.8,,100.0,100.0,,,100.0,,95.5,93.9,90.9,,0.0,21.9,,21.1,18.2,,,26.4,,52.8,27.7,1.3,,,,,,,,,,2.9,,,,,,,,4.4,,,,,,,,,,,
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Des Plaines,Cook,High School District,High School,9 - 12,52.3,47.7,,37.0,3.1,44.3,11.5,,,3.4,,17.6,11.6,20.3,38.2,41.6,25.7,1.7,,,,84.6,0.8,6.3,3.7,,,4.0,0.6,1.1,,,93.4,95.5,93.3,98.0,,,94.1,,91.9,90.0,92.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-046-0050-26-0005,Manteno High School,Manteno CUSD 5,Manteno,Kankakee,Unit District,High School,8 - 12,48.7,51.3,,81.5,3.2,10.8,,,,4.1,,17.0,11.0,,,95.5,29.7,,,,,97.4,,2.6,,,,,,10.0,,,99.1,,85.7,,,,,,83.3,81.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1540-16-0001,Marengo High School,Marengo CHSD 154,Marengo,McHenry,High School District,High School,9 - 12,52.3,47.7,,66.7,,29.7,,,,2.1,,11.6,11.3,10.9,6.6,82.6,31.5,,,,,93.7,,2.1,,,,2.1,,2.0,,,97.0,,87.1,,,,,,83.3,90.9,76.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-100-0020-26-0001,Marion High School,Marion CUSD 2,Marion,Williamson,Unit District,High School,9 - 12,53.0,47.0,,76.4,9.0,5.2,1.1,,,7.9,,13.9,13.9,,,98.8,47.6,6.4,,,,94.9,2.6,1.3,,,,,,5.1,,,84.2,63.2,70.6,,,,96.0,,76.9,76.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-082-0400-26-0001,Marissa Jr & Sr High School,Marissa CUSD 40,Marissa,Saint Clair,Unit District,High School,7 - 12,43.8,56.2,,85.8,,,,,,6.8,,13.2,13.2,,,100.0,58.4,9.1,,,,90.7,,,,,,,,8.3,,,94.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-055-0020-26-0001,Maroa-Forsyth Senior High Sch,Maroa Forsyth CUSD 2,Maroa,Macon,Unit District,High School,9 - 12,53.8,46.2,,79.3,5.1,,9.6,,,3.0,,12.0,6.6,,,94.6,24.0,,,,,95.4,,4.6,,,,,,5.4,,,98.5,,,100.0,,,,,100.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-012-002C-26-0001,Marshall High School,Marshall CUSD 2C,Marshall,Clark,Unit District,High School,9 - 12,,51.5,,93.3,,,,,,2.9,,21.2,19.8,,,98.8,35.8,,,,,100.0,,,,,,,,6.5,,,94.2,,,,,,,,88.9,88.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-012-003C-26-0001,Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,Unit District,High School,7 - 12,45.7,54.3,,95.0,,,,,,,,26.4,20.0,,,100.0,52.9,,,,,100.0,,,,,,,,13.8,,,83.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-082-0190-26-0001,Mascoutah High School,Mascoutah CUD 19,Mascoutah,Saint Clair,Unit District,High School,9 - 12,51.0,48.2,0.8,66.9,10.4,10.3,2.1,,,9.5,,21.2,11.0,,,97.8,21.2,,,,29.3,92.3,5.0,0.2,1.3,,,1.3,,12.9,,,92.9,89.7,90.9,,,,93.8,,87.7,90.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-061-0010-26-0001,Massac County High School,Massac UD 1,Metropolis,Massac,Unit District,High School,9 - 12,50.6,49.4,,77.9,8.0,,,,,9.4,,17.9,17.5,,,,60.0,3.2,,,,97.8,2.2,,,,,,,7.1,,,99.0,,,,,,83.3,,95.2,94.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-015-0020-26-0001,Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,Unit District,High School,9 - 12,49.7,50.3,,82.4,4.2,5.7,,,,7.1,,15.4,12.0,,,98.5,46.7,4.2,,,,96.3,1.9,,1.9,,,,,13.6,,,92.7,,,,,,85.0,,82.4,78.6,,,0.0,92.5,86.7,83.9,,,,91.8,,93.4,85.0,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1560-16-0003,McHenry Community High School,McHenry CHSD 156,Mchenry,McHenry,High School District,High School,9 - 12,52.8,,,67.7,1.3,27.3,0.9,,0.5,2.2,,25.8,14.3,11.8,10.1,78.1,37.4,1.6,,,0.8,93.7,,4.9,1.4,,,,,4.4,,,98.8,,98.6,,,,100.0,,97.0,96.5,97.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0050-26-0003,Eugene Field School,McLean County USD 5,Normal,McLean,Unit District,High School,12,62.5,37.5,,52.1,20.8,,,,,,,95.8,95.8,,,,50.0,,,,,100.0,,,,,,,,9.1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0050-26-0001,Normal Community High School,McLean County USD 5,Normal,McLean,Unit District,High School,9 - 12,52.0,48.0,,53.9,14.4,12.9,11.6,,,6.9,,21.5,14.7,6.9,8.1,85.1,33.2,1.4,,,,90.3,4.0,2.9,2.2,,,0.7,,6.5,,,92.0,73.8,72.5,98.5,,,60.7,,82.7,78.3,78.1,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0050-26-0002,Normal Community West High School,McLean County USD 5,Normal,McLean,Unit District,High School,9 - 12,50.0,50.0,,64.2,15.3,12.2,1.5,,,6.7,,25.8,19.2,2.6,3.6,93.8,37.1,1.0,,,,94.4,2.4,1.9,1.4,,,,,10.9,,,93.3,83.7,96.4,,,,93.1,,85.4,83.1,95.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0050-26-001C,YBMC Charter Sch,McLean County USD 5,Normal,McLean,Unit District,High School,11 - 12,,,,,,,,,,,,,,,,100.0,82.4,,,,,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-050-2800-17-0001,Mendota Twp High School,Mendota Twp HSD 280,Mendota,La Salle,High School District,High School,9 - 12,51.9,,,55.6,,39.1,,,,2.9,,20.8,16.9,17.3,13.0,69.8,55.8,,,,,86.4,,10.8,,,,2.7,,7.3,,,91.0,,92.0,,,,,,76.0,78.9,89.7,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-066-4040-26-0001,Mercer County High School,Mercer County School District 404,Aledo,Mercer,Unit District,High School,9 - 12,47.9,52.1,,93.0,,,,,,3.0,,22.1,18.0,,,99.2,40.9,,,,12.8,96.9,,,,,,3.1,,4.4,,,92.6,,,,,,,,96.2,95.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-069-0110-26-0001,Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,Unit District,High School,9 - 12,61.9,38.1,,90.5,,,,,,,,23.8,,,,100.0,69.0,,,,,100.0,,,,,,,,22.0,,,93.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-077-1010-26-0001,Meridian High School,Meridian CUSD 101,Mounds,Pulaski,Unit District,High School,6 - 12,50.3,49.7,,28.5,54.4,,,,,14.5,,23.3,23.3,,,98.4,98.4,18.1,,,,89.5,5.3,,,,,,,22.5,,,,100.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-055-0150-26-0001,Meridian High School,Meridian CUSD 15,Macon,Macon,Unit District,High School,9 - 12,48.7,51.3,,91.5,,4.1,,,,,,6.3,6.3,,,100.0,43.2,,,,,100.0,,,,,,,,8.6,,,91.8,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-071-2230-26-0003,Stillman Valley High School,Meridian CUSD 223,Stillman Valley,Ogle,Unit District,High School,9 - 12,49.3,50.7,,81.1,,14.6,,,,3.6,,14.1,14.1,6.2,3.8,90.0,29.4,,,,,100.0,,,,,,,,6.5,,,96.3,,92.9,,,,,,88.2,88.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-059-0070-26-0001,Midland High School,Midland CUSD 7,Varna,Marshall,Unit District,High School,9 - 12,47.1,52.9,,89.5,,5.8,,,,,,13.6,13.6,,,,51.8,,,,,71.4,,,7.1,,7.1,3.6,,21.9,,,97.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-060-1910-26-0001,Midwest Central High School,Midwest Central CUSD 191,Manito,Mason,Unit District,High School,9 - 12,47.8,52.2,,93.9,,,,,,,,18.7,13.0,,,100.0,46.5,,,,,95.6,,,,,,,,4.4,,,96.4,,,,,,,,100.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-038-1240-26-0001,Milford High School Campus,Milford Area Public Schools District 124,Milford,Iroquois,Unit District,High School,9 - 12,54.7,,,82.5,,12.4,,,,,,18.2,13.1,,,97.1,59.9,,,,,94.5,,5.5,,,,,,2.0,,,76.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-032-1110-16-0001,Minooka Community High School,Minooka CHSD 111,Channahon,Grundy,High School District,High School,9 - 12,49.5,50.5,,66.2,5.0,23.6,1.2,,,3.8,,19.9,10.2,3.8,5.2,91.0,14.6,0.5,,,,92.0,0.1,4.9,,0.6,0.6,0.6,,9.2,,,96.7,100.0,94.8,100.0,,,85.2,,93.3,96.6,86.2,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
